site,recording_name,failure_reason,n
brachial,candidate_test_02_brachial,missing_secondary_peak,102
brachial,candidate_test_02_brachial,valley_too_late,93
brachial,candidate_test_02_brachial,ok,4
brachial,candidate_test_03_brachial,missing_secondary_peak,73
brachial,candidate_test_03_brachial,valley_too_late,73
brachial,candidate_test_03_brachial,ok,4
brachial,candidate_test_04_brachial_1,missing_secondary_peak,57
brachial,candidate_test_04_brachial_1,valley_too_late,13
brachial,candidate_test_04_brachial_1,ok,7
brachial,candidate_test_04_brachial_2,missing_secondary_peak,55
brachial,candidate_test_04_brachial_2,valley_too_late,16
brachial,candidate_test_04_brachial_2,ok,6
brachial,candidate_test_05_brachial,missing_secondary_peak,69
brachial,candidate_test_05_brachial,ok,55
brachial,candidate_test_05_brachial,valley_too_late,46
brachial,candidate_test_08_brachial,ok,44
brachial,candidate_test_08_brachial,missing_secondary_peak,7
neck,candidate_test_02_neck,missing_secondary_peak,63
neck,candidate_test_02_neck,valley_too_late,63
neck,candidate_test_04_neck,missing_secondary_peak,13
neck,candidate_test_04_neck,valley_too_late,8
