image_start_s,image_end_s,image_duration_s,audio_start_s,audio_end_s,audio_duration_s,start_difference_s,end_difference_s,overlap_start_s,overlap_end_s,overlap_duration_s,union_duration_s,segment_iou,recording_name,candidate_id,site,repeat_id,segment_comparison_ok,segment_comparison_error,overlap_pass_basic,overlap_screening_status
0.0,29.5,29.5,0.7466666666666667,40.096,39.34933333333333,0.7466666666666667,10.595999999999997,0.7466666666666667,29.5,28.753333333333334,40.096,0.7171122638999735,candidate_test_01_brachial,1,brachial,1,True,,True,PASS
0.0,52.0,52.0,0.736,52.86933333333333,52.13333333333333,0.736,0.86933333333333,0.736,52.0,51.264,52.86933333333333,0.9696358317361042,candidate_test_02_brachial,2,brachial,1,True,,True,PASS
0.0,51.0,51.0,0.35733333333333334,50.784,50.42666666666666,0.35733333333333334,-0.21600000000000108,0.35733333333333334,50.784,50.42666666666666,51.0,0.9887581699346404,candidate_test_02_neck,2,neck,1,True,,True,PASS
0.0,47.0,47.0,0.6506666666666666,46.986666666666665,46.336,0.6506666666666666,-0.013333333333335418,0.6506666666666666,46.986666666666665,46.336,47.0,0.9858723404255318,candidate_test_03_brachial,3,brachial,1,True,,True,PASS
0.0,33.5,33.5,0.42133333333333334,32.96,32.538666666666664,0.42133333333333334,-0.5399999999999991,0.42133333333333334,32.96,32.538666666666664,33.5,0.9713034825870646,candidate_test_04_brachial_1,4,brachial,1,True,,True,PASS
0.0,31.5,31.5,0.4053333333333333,31.722666666666665,31.31733333333333,0.4053333333333333,0.22266666666666524,0.4053333333333333,31.5,31.094666666666665,31.722666666666665,0.9802034297242771,candidate_test_04_brachial_2,4,brachial,2,True,,True,PASS
0.0,21.0,21.0,0.4106666666666667,21.072,20.66133333333333,0.4106666666666667,0.07199999999999918,0.4106666666666667,21.0,20.589333333333332,21.072,0.9770944064793723,candidate_test_04_neck,4,neck,1,True,,True,PASS
0.0,36.5,36.5,2.970666666666667,35.818666666666665,32.848,2.970666666666667,-0.6813333333333347,2.970666666666667,35.818666666666665,32.848,36.5,0.899945205479452,candidate_test_05_brachial,5,brachial,1,True,,True,PASS
0.5,3.0,2.5,0.49066666666666664,42.464,41.97333333333333,-0.00933333333333336,39.464,0.5,3.0,2.5,41.97333333333333,0.05956162642947904,candidate_test_06_brachial,6,brachial,1,True,,False,FAIL
41.0,43.0,2.0,0.72,40.736,40.016,-40.28,-2.264000000000003,41.0,40.736,0.0,42.28,0.0,candidate_test_07_brachial,7,brachial,1,True,,False,FAIL
0.5,44.5,44.0,0.9866666666666667,43.95733333333333,42.970666666666666,0.4866666666666667,-0.5426666666666691,0.9866666666666667,43.95733333333333,42.970666666666666,44.0,0.9766060606060606,candidate_test_08_brachial,8,brachial,1,True,,True,PASS
