image_usable_start_s,image_usable_end_s,image_usable_duration_s,image_usable_fraction,n_total_sampled_frames,n_usable_frames,total_duration_s,recording_name,candidate_id,site,repeat_id,image_qc_ok,image_qc_error,image_pass_basic,image_screening_status
0.0,29.5,21.0,0.4666666666666667,91,42,45.0,candidate_test_01_brachial,1,brachial,1,True,,True,PASS
0.0,52.0,52.5,0.8898305084745762,119,105,59.0,candidate_test_02_brachial,2,brachial,1,True,,True,PASS
0.0,51.0,23.0,0.45098039215686275,103,46,51.0,candidate_test_02_neck,2,neck,1,True,,True,PASS
0.0,47.0,47.0,1.0,95,94,47.0,candidate_test_03_brachial,3,brachial,1,True,,True,PASS
0.0,33.5,34.0,1.0149253731343284,68,68,33.5,candidate_test_04_brachial_1,4,brachial,1,True,,True,PASS
0.0,31.5,30.0,0.9523809523809523,64,60,31.5,candidate_test_04_brachial_2,4,brachial,2,True,,True,PASS
0.0,21.0,13.0,0.5909090909090909,45,26,22.0,candidate_test_04_neck,4,neck,1,True,,True,PASS
0.0,36.5,37.0,1.0136986301369864,74,74,36.5,candidate_test_05_brachial,5,brachial,1,True,,True,PASS
0.5,3.0,3.0,0.07142857142857142,85,6,42.0,candidate_test_06_brachial,6,brachial,1,True,,False,BORDERLINE
41.0,43.0,2.5,0.056818181818181816,89,5,44.0,candidate_test_07_brachial,7,brachial,1,True,,False,BORDERLINE
0.5,44.5,31.0,0.6813186813186813,92,62,45.5,candidate_test_08_brachial,8,brachial,1,True,,True,PASS
